index,source,target,relation,relation_label,source_label,target_label,source_type,target_type,relation_uri
155,PL15_Exec1,PolicyExecution,actType,행위유형,정책15_사액환수및훼철1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
156,PL15_Exec2,PolicyExecution,actType,행위유형,정책15_사액환수및훼철2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
157,PL16_Exec1,PolicyExecution,actType,행위유형,정책16_서원전및점유촌락환속1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
158,PL17_Exec1,PolicyExecution,actType,행위유형,정책17_사액서원위전3결면세1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
159,PL17_Exec2,PolicyExecution,actType,행위유형,정책17_사액서원위전3결면세2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
160,PL18_Exec1,PolicyExecution,actType,행위유형,정책18_허가후서원건립및임의추향금지위반시치죄1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
161,PL18_Exec2,PolicyExecution,actType,행위유형,정책18_허가후서원건립및임의추향금지위반시치죄2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
162,PL19_Exec1,PolicyExecution,actType,행위유형,정책19_영당생사당등의향현사건립일체금지1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
163,PL1_Exec1,PolicyExecution,actType,행위유형,정책1_허가후서원건립1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
164,PL1_Exec2,PolicyExecution,actType,행위유형,정책1_허가후서원건립2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
165,PL1_Exec3,PolicyExecution,actType,행위유형,정책1_허가후서원건립3,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
